,danceability,energy,speechiness,acousticness,valence,tempo,tempo_scale,reggaeton
4,0.876,0.692,0.104,0.128,0.757,95.032,0.34049944868932114,1
6,0.816,0.747,0.0411,0.102,0.848,97.019,0.35150903983288917,1
7,0.705,0.533,0.272,0.0956,0.537,94.022,0.33490322973863995,1
10,0.732,0.708,0.262,0.534,0.717,175.924,0.7887067193413084,1
11,0.787,0.679,0.0658,0.416,0.875,89.988,0.3125515988009685,1
13,0.808,0.682,0.0963,0.171,0.491,89.987,0.31254605799012625,1
14,0.825,0.852,0.0789,0.0282,0.813,95.028,0.34047728544595224,1
15,0.828,0.666,0.152,0.457,0.44,91.961,0.3234836185927449,1
16,0.804,0.745,0.0744,0.112,0.512,95.024,0.3404551222025831,1
18,0.775,0.744,0.0916,0.0567,0.581,92.98,0.32912970484100645,1
19,0.815,0.856,0.122,0.4,0.872,91.995,0.3236720061613817,1
20,0.852,0.66,0.224,0.277,0.517,94.006,0.3348145767651638,1
22,0.815,0.768,0.171,0.217,0.667,93.971,0.3346206483856847,1
24,0.681,0.802,0.175,0.266,0.765,88.029,0.3016971503609838,1
25,0.738,0.85,0.0403,0.0775,0.678,94.999,0.3403166019315266,1
26,0.503,0.9,0.308,0.329,0.744,86.888,0.29537508518996675,1
27,0.784,0.793,0.123,0.112,0.638,95.977,0.34573551493525567,1
31,0.801,0.773,0.0896,0.563,0.796,94.988,0.3402556530122618,1
32,0.629,0.893,0.275,0.181,0.86,94.042,0.3350140459554851,1
33,0.753,0.628,0.071,0.0466,0.691,107.253,0.40821369799256424,1
36,0.808,0.697,0.241,0.041,0.554,95.06,0.34065459139290444,1
38,0.84,0.837,0.155,0.322,0.728,95.019,0.34042741814837185,1
40,0.944,0.874,0.175,0.316,0.836,120.056,0.4791526992060018,1
44,0.751,0.881,0.253,0.0315,0.694,92.972,0.3290853783542683,1
45,0.841,0.808,0.0749,0.0711,0.66,95.0,0.34032214274236894,1
46,0.84,0.926,0.108,0.0762,0.567,107.981,0.4122474082857285,1
47,0.791,0.692,0.137,0.149,0.716,109.928,0.42303536699560607,1
48,0.883,0.626,0.0853,0.0648,0.565,107.023,0.40693931149884477,1
49,0.709,0.726,0.0411,0.0977,0.404,92.006,0.3237329550806465,1
50,0.696,0.722,0.0472,0.114,0.464,92.017,0.32379390399991137,1
51,0.793,0.823,0.0681,0.169,0.616,91.997,0.3236830877830662,1
53,0.846,0.905,0.0588,0.139,0.843,95.018,0.3404218773375296,1
54,0.686,0.877,0.131,0.00221,0.877,192.008,0.8778251209281966,1
55,0.771,0.85,0.0558,0.334,0.586,94.991,0.34027227544478855,1
57,0.808,0.869,0.0509,0.305,0.848,92.165,0.32461394400456567,1
58,0.765,0.768,0.0742,0.18,0.574,94.243,0.33612774893477904,1
59,0.509,0.672,0.0639,0.281,0.81,100.102,0.36859135965957257,1
62,0.794,0.69,0.149,0.0327,0.898,102.335,0.3809639902703361,1
64,0.753,0.804,0.06,0.00165,0.794,94.978,0.34020024490383916,1
66,0.79,0.551,0.227,0.221,0.787,179.277,0.8072850580954016,1
67,0.761,0.728,0.0837,0.0269,0.852,95.921,0.3454252295280892,1
68,0.843,0.678,0.1,0.0282,0.641,106.778,0.4055818128424914,1
4,0.557,0.703,0.0277,0.203,0.228,150.037,0.6452717490677586,0
6,0.552,0.837,0.0345,0.0725,0.317,116.033,0.4568620171875952,0
7,0.813,0.777,0.0828,0.0663,0.579,125.065,0.5069066207148754,0
10,0.695,0.797,0.0548,0.00259,0.297,124.972,0.5063913253065453,0
11,0.562,0.955,0.0399,0.0772,0.316,125.014,0.5066240393619202,0
13,0.602,0.867,0.104,0.0299,0.496,125.88,0.5114223815513161,0
14,0.639,0.973,0.107,0.00403,0.168,130.046,0.5345053995201657,0
15,0.704,0.738,0.0358,0.0212,0.909,128.007,0.5232076862128004,0
16,0.791,0.679,0.0511,0.0129,0.73,121.993,0.48988524980745685,0
18,0.756,0.833,0.0411,0.00381,0.141,124.006,0.5010389020329234,0
19,0.791,0.737,0.0531,0.00541,0.392,125.022,0.5066683658486584,0
20,0.625,0.819,0.11,0.0102,0.227,130.014,0.5343280935732135,0
22,0.591,0.913,0.0479,0.0277,0.66,126.997,0.5176114672621192,0
24,0.738,0.868,0.0731,0.0389,0.336,122.003,0.4899406579158794,0
25,0.811,0.725,0.214,0.0577,0.839,115.009,0.4511882268851224,0
26,0.624,0.923,0.0335,0.0268,0.402,124.994,0.5065132231450751,0
27,0.58,0.995,0.0754,0.00192,0.111,128.004,0.5231910637802736,0
31,0.7,0.826,0.0583,0.0219,0.255,125.996,0.5120651156090182,0
32,0.527,0.914,0.0475,0.0113,0.522,127.957,0.5229306456706874,0
33,0.557,0.841,0.0426,0.106,0.188,127.977,0.5230414618875326,0
36,0.711,0.987,0.125,0.0702,0.558,126.003,0.512103901284914,0
38,0.501,0.519,0.0409,0.109,0.168,133.99,0.556358357482034,0
40,0.814,0.951,0.0715,0.0118,0.264,104.003,0.3902060627552236,0
44,0.484,0.756,0.0579,0.00209,0.239,139.9,0.5891045495597826,0
45,0.833,0.494,0.0676,0.101,0.145,123.008,0.4955091728123493,0
46,0.681,0.774,0.0787,0.0992,0.267,102.924,0.38422752785642655,0
47,0.695,0.871,0.0318,0.0167,0.486,127.963,0.522963890535741,0
48,0.619,0.805,0.0452,0.29,0.354,128.039,0.5233849921597525,0
49,0.588,0.783,0.0325,0.00143,0.354,91.971,0.3235390267011674,0
50,0.496,0.03,0.058,0.995,0.39,98.079,0.35738229932568333,0
51,0.656,0.175,0.217,0.977,0.452,78.843,0.2507992619639958,0
53,0.441,0.00753,0.0447,0.992,0.279,79.838,0.2563123687520431,0
54,0.721,0.0285,0.0999,0.996,0.261,99.406,0.36473495531336053,0
55,0.358,0.0614,0.059,0.993,0.137,168.741,0.7489070750613646,0
57,0.257,0.0317,0.0424,0.989,0.268,205.506,0.9526149856770041,0
58,0.571,0.0322,0.0656,0.996,0.579,95.346,0.3422392632937904,0
59,0.653,0.0116,0.0583,0.995,0.471,110.539,0.4264208024202262,0
62,0.438,0.0285,0.0507,0.996,0.273,100.084,0.3684916250644119,0
64,0.565,0.0237,0.0356,0.994,0.0602,96.039,0.3460790452074757,0
66,0.473,0.0998,0.0524,0.987,0.158,120.875,0.4836906232858117,0
67,0.131,0.0666,0.0365,0.955,0.0468,99.442,0.36493442450368185,0
68,0.505,0.0409,0.0472,0.996,0.31,172.341,0.7688539940934956,0
70,0.73,0.064,0.109,0.996,0.326,98.024,0.3570775547293591,0
