,danceability,energy,speechiness,acousticness,valence,tempo,tempo_scale,reggaeton
1,0.641,0.693,0.163,0.0169,0.899,214.058,1.0,1
2,0.771,0.815,0.0719,0.161,0.524,94.016,0.33486998487358643,1
4,0.876,0.692,0.104,0.128,0.757,95.032,0.34049944868932114,1
5,0.675,0.921,0.0365,0.0466,0.7,97.01,0.3514591725353089,1
7,0.705,0.533,0.272,0.0956,0.537,94.022,0.33490322973863995,1
8,0.847,0.724,0.052,0.0152,0.691,102.106,0.3796951445874589,1
9,0.783,0.824,0.123,0.214,0.726,93.998,0.3347702502784258,1
12,0.829,0.878,0.101,0.0959,0.883,87.991,0.301486599548978,1
13,0.808,0.682,0.0963,0.171,0.491,89.987,0.31254605799012625,1
15,0.828,0.666,0.152,0.457,0.44,91.961,0.3234836185927449,1
17,0.677,0.946,0.0553,0.185,0.948,96.011,0.3459239025038924,1
18,0.775,0.744,0.0916,0.0567,0.581,92.98,0.32912970484100645,1
20,0.852,0.66,0.224,0.277,0.517,94.006,0.3348145767651638,1
21,0.798,0.814,0.0542,0.101,0.524,95.007,0.3403609284182647,1
23,0.857,0.801,0.0618,0.332,0.753,96.009,0.34591282088220787,1
24,0.681,0.802,0.175,0.266,0.765,88.029,0.3016971503609838,1
25,0.738,0.85,0.0403,0.0775,0.678,94.999,0.3403166019315266,1
28,0.847,0.873,0.0804,0.0558,0.966,116.007,0.45671795610569654,1
29,0.843,0.797,0.0894,0.0833,0.697,96.948,0.3511156422630888,1
30,0.738,0.875,0.109,0.236,0.91,90.036,0.31281755772139697,1
32,0.629,0.893,0.275,0.181,0.86,94.042,0.3350140459554851,1
34,0.701,0.914,0.0851,0.0817,0.886,130.078,0.534682705467118,1
35,0.788,0.833,0.287,0.0134,0.356,172.388,0.7691144122030819,1
37,0.924,0.782,0.0816,0.246,0.745,95.01,0.3403775508507916,1
38,0.84,0.837,0.155,0.322,0.728,95.019,0.34042741814837185,1
39,0.86,0.699,0.0974,0.0827,0.871,93.992,0.33473700541337226,1
40,0.944,0.874,0.175,0.316,0.836,120.056,0.4791526992060018,1
41,0.796,0.866,0.0595,0.096,0.877,94.991,0.34027227544478855,1
42,0.763,0.597,0.219,0.00268,0.772,106.542,0.4042741814837183,1
43,0.744,0.921,0.0889,0.172,0.718,93.001,0.3292460618686939,1
44,0.751,0.881,0.253,0.0315,0.694,92.972,0.3290853783542683,1
46,0.84,0.926,0.108,0.0762,0.567,107.981,0.4122474082857285,1
47,0.791,0.692,0.137,0.149,0.716,109.928,0.42303536699560607,1
48,0.883,0.626,0.0853,0.0648,0.565,107.023,0.40693931149884477,1
50,0.696,0.722,0.0472,0.114,0.464,92.017,0.32379390399991137,1
51,0.793,0.823,0.0681,0.169,0.616,91.997,0.3236830877830662,1
52,0.795,0.768,0.0466,0.257,0.735,95.041,0.3405493159869015,1
54,0.686,0.877,0.131,0.00221,0.877,192.008,0.8778251209281966,1
56,0.809,0.741,0.219,0.0102,0.61,184.016,0.8335429606768654,1
57,0.808,0.869,0.0509,0.305,0.848,92.165,0.32461394400456567,1
58,0.765,0.768,0.0742,0.18,0.574,94.243,0.33612774893477904,1
60,0.677,0.812,0.032,0.284,0.354,95.018,0.3404218773375296,1
64,0.753,0.804,0.06,0.00165,0.794,94.978,0.34020024490383916,1
65,0.796,0.589,0.0749,0.274,0.764,95.019,0.34042741814837185,1
66,0.79,0.551,0.227,0.221,0.787,179.277,0.8072850580954016,1
67,0.761,0.728,0.0837,0.0269,0.852,95.921,0.3454252295280892,1
68,0.843,0.678,0.1,0.0282,0.641,106.778,0.4055818128424914,1
69,0.775,0.906,0.221,0.0628,0.425,108.261,0.4137988353215609,1
1,0.588,0.623,0.0304,0.000288,0.169,135.993,0.567456601599078,0
2,0.577,0.88,0.0357,0.335,0.259,127.951,0.5228974008056338,0
4,0.557,0.703,0.0277,0.203,0.228,150.037,0.6452717490677586,0
5,0.59,0.647,0.033,0.00807,0.39,127.979,0.5230525435092171,0
7,0.813,0.777,0.0828,0.0663,0.579,125.065,0.5069066207148754,0
8,0.766,0.948,0.0634,0.205,0.676,123.967,0.5008228104100754,0
9,0.467,0.975,0.0502,0.04,0.469,175.952,0.7888618620448916,0
12,0.871,0.893,0.0403,0.474,0.657,126.016,0.5121759318258634,0
13,0.602,0.867,0.104,0.0299,0.496,125.88,0.5114223815513161,0
15,0.704,0.738,0.0358,0.0212,0.909,128.007,0.5232076862128004,0
17,0.628,0.869,0.051,0.0312,0.446,131.042,0.5400240471190554,0
18,0.756,0.833,0.0411,0.00381,0.141,124.006,0.5010389020329234,0
20,0.625,0.819,0.11,0.0102,0.227,130.014,0.5343280935732135,0
21,0.658,0.938,0.0589,0.00165,0.645,124.956,0.5063026723330692,0
23,0.792,0.831,0.0446,0.00144,0.0603,126.991,0.5175782223970656,0
24,0.738,0.868,0.0731,0.0389,0.336,122.003,0.4899406579158794,0
25,0.811,0.725,0.214,0.0577,0.839,115.009,0.4511882268851224,0
28,0.677,0.846,0.0567,0.044,0.528,122.025,0.49006255575440916,0
29,0.594,0.971,0.0452,0.0108,0.967,124.031,0.50117742230398,0
30,0.797,0.871,0.0353,0.186,0.653,127.013,0.5177001202355953,0
32,0.527,0.914,0.0475,0.0113,0.522,127.957,0.5229306456706874,0
34,0.81,0.9,0.0466,0.000683,0.111,123.001,0.4954703871364535,0
35,0.489,0.641,0.032,0.00598,0.587,108.901,0.41734495426060647,0
37,0.815,0.669,0.0355,0.0242,0.317,121.984,0.48983538250987646,0
38,0.501,0.519,0.0409,0.109,0.168,133.99,0.556358357482034,0
39,0.634,0.673,0.0654,0.105,0.327,129.998,0.5342394405997373,0
40,0.814,0.951,0.0715,0.0118,0.264,104.003,0.3902060627552236,0
41,0.596,0.905,0.0515,0.0743,0.692,144.981,0.6172574094492987,0
42,0.621,0.831,0.038,0.185,0.527,125.946,0.5117880750669053,0
43,0.516,0.86,0.0494,0.0526,0.35,173.874,0.7773480571146781,0
