,danceability,energy,speechiness,acousticness,valence,tempo_scale,reggaeton
1,0.641,0.693,0.163,0.0169,0.899,1.0,1
2,0.771,0.815,0.0719,0.161,0.524,0.33486998487358643,1
4,0.876,0.692,0.104,0.128,0.757,0.34049944868932114,1
8,0.847,0.724,0.052,0.0152,0.691,0.3796951445874589,1
9,0.783,0.824,0.123,0.214,0.726,0.3347702502784258,1
10,0.732,0.708,0.262,0.534,0.717,0.7887067193413084,1
11,0.787,0.679,0.0658,0.416,0.875,0.3125515988009685,1
14,0.825,0.852,0.0789,0.0282,0.813,0.34047728544595224,1
15,0.828,0.666,0.152,0.457,0.44,0.3234836185927449,1
16,0.804,0.745,0.0744,0.112,0.512,0.3404551222025831,1
17,0.677,0.946,0.0553,0.185,0.948,0.3459239025038924,1
18,0.775,0.744,0.0916,0.0567,0.581,0.32912970484100645,1
19,0.815,0.856,0.122,0.4,0.872,0.3236720061613817,1
21,0.798,0.814,0.0542,0.101,0.524,0.3403609284182647,1
22,0.815,0.768,0.171,0.217,0.667,0.3346206483856847,1
23,0.857,0.801,0.0618,0.332,0.753,0.34591282088220787,1
26,0.503,0.9,0.308,0.329,0.744,0.29537508518996675,1
27,0.784,0.793,0.123,0.112,0.638,0.34573551493525567,1
28,0.847,0.873,0.0804,0.0558,0.966,0.45671795610569654,1
30,0.738,0.875,0.109,0.236,0.91,0.31281755772139697,1
32,0.629,0.893,0.275,0.181,0.86,0.3350140459554851,1
33,0.753,0.628,0.071,0.0466,0.691,0.40821369799256424,1
34,0.701,0.914,0.0851,0.0817,0.886,0.534682705467118,1
35,0.788,0.833,0.287,0.0134,0.356,0.7691144122030819,1
36,0.808,0.697,0.241,0.041,0.554,0.34065459139290444,1
37,0.924,0.782,0.0816,0.246,0.745,0.3403775508507916,1
40,0.944,0.874,0.175,0.316,0.836,0.4791526992060018,1
41,0.796,0.866,0.0595,0.096,0.877,0.34027227544478855,1
42,0.763,0.597,0.219,0.00268,0.772,0.4042741814837183,1
43,0.744,0.921,0.0889,0.172,0.718,0.3292460618686939,1
44,0.751,0.881,0.253,0.0315,0.694,0.3290853783542683,1
46,0.84,0.926,0.108,0.0762,0.567,0.4122474082857285,1
48,0.883,0.626,0.0853,0.0648,0.565,0.40693931149884477,1
50,0.696,0.722,0.0472,0.114,0.464,0.32379390399991137,1
51,0.793,0.823,0.0681,0.169,0.616,0.3236830877830662,1
53,0.846,0.905,0.0588,0.139,0.843,0.3404218773375296,1
54,0.686,0.877,0.131,0.00221,0.877,0.8778251209281966,1
56,0.809,0.741,0.219,0.0102,0.61,0.8335429606768654,1
59,0.509,0.672,0.0639,0.281,0.81,0.36859135965957257,1
